x	I	dI
-30	0.009	0.0005
-29	0.013	0.0005
-28	0.014	0.0005
-27	0.0215	0.0005
-26	0.017	0.0005
-25	0.018	0.0005
-24	0.0322	0.0007
-23	0.062	0.001
-22	0.113	0.001
-21	0.131	0.002
-20	0.145	0.004
-19	0.22	0.005
-18	0.38	0.005
-17	0.63	0.01
-16	0.98	0.02
-15	1.18	0.04
-14	1.59	0.04
-13	2.33	0.05
-12	3.10	0.05
-11	3.62	0.05
-10	3.95	0.05
-9	4.10	0.03
-8	4.40	0.03
-7	4.58	0.03
-6	4.48	0.03
-5	4.62	0.03
-4	4.60	0.03
-3	4.52	0.03
-2	4.25	0.03	
-1	3.60	0.03
0	3.40	0.03
1	2.98	0.03
2	2.62	0.03
3	1.82	0.03
4	1.65	0.01
5	1.40	0.02
6	0.81	0.02		
7	0.59	0.01
8	0.34	0.01
9	0.25	0.01
10	0.200	0.02	
11	0.138	0.02
12	0.066	0.01
13	0.041	0.01
14	0.0355	0.0005
15	0.0155	0.0005
16	0.0222	0.0005
17	0.0065	0.0005
18	0.0055	0.0001
19	0.0053	0.0001
20	0.0034	0.0001
