x	I 	dI
-30	0.0011	0.0001		
-29	0.0032	0.0003
-28	0.006 	0.001	
-27	0.012	0.001	
-26	0.007	0.0005	
-25	0.022	0.0005	
-24	0.065	0.005
-23	0.110	0.010
-22	0.120	0.005
-21	0.170	0.015
-20	0.3	0.05
-19	0.54	0.05
-18	0.7	0.02
-17	0.089	0.05
-16	1.04	0.05
-15	1.15	0.05
-14	1.27	0.08
-13	1.45	0.05
-12	1.35	0.05	
-11	1.2	0.05
-10	0.95	0.05
-9	0.7	0.05	
-8	0.55	0.05
-7	0.03	0.03
-6	0.105	0.005
-5	0.011	0.001
-4	0.040	0.005
-3	0.130	0.010
-2	0.2	0.05
-1	0.32	0.03
0	0.4	0.05
1	0.43	0.05
2	0.58	0.03
3	0.5	0.05
4	0.68	0.08
5	0.85	0.02
6	0.7	0.05
7	0.62	0.05
8	0.48	0.03	
9	0.43	0.03
10	0.31	0.03
11	0.22	0.02
12	0.105	0.003
13	0.110	0.005
14	0.100	0.005
15	0.057	0.003
16	0.038	0.003
17	0.015	0.002	
18	0.010	0.002
19	0.0082	0.0003
20	0.0027	0.0003
